inf_at,inf_lt,inf_ni,inf_revt,inf_cost,inf_emp,gvkey,fyear
91023405.08073434,58535203.94190524,6084560.007100295,136905701.36261448,125031195.6199096,677.0,GB00BYW8QM32,1994.0
63904367.98506278,38016833.81699617,4094265.1449253466,110172383.4330715,101836622.4914905,604.0,GB00BYW8QM32,1993.0
66755554.52184664,26120822.848561004,-7263273.966277285,98770414.65510713,101690048.56382532,518.0,GB00BYW8QM32,1990.0
95750094.77362598,69087959.47250266,-8088512.956520566,189179434.77491695,185277381.40770665,643.0,GB00BYW8QM32,1992.0
525897214.1469909,338675514.0181698,11070715.029423784,477720634.7677837,422957206.325096,1638.0,IE0000793780,2002.0
605648832.9506265,406049695.9263539,31267515.93360722,445130037.7068995,388355323.38153446,1505.0,IE0000793780,2000.0
376571488.465214,210381517.3710368,22821314.43139621,391619752.3193325,350918724.3875824,1209.0,IE0000793780,1997.0
423471472.5271714,217296009.4009432,41035924.36779889,443546944.7725015,388674369.582657,1386.0,IE0000793780,1999.0
277293878.15983486,129356077.69386196,19512806.28458817,345395108.53448737,304876074.8858921,1112.0,IE0000793780,1996.0
312051908.8809334,165171676.30848473,16318004.910686463,350356629.30661315,319921413.01397115,1211.0,IE0000793780,1994.0
275077207.61626506,138589848.43521646,23295703.35185752,297809798.85346913,259961931.8865193,1031.0,IE0000793780,1993.0
222100571.27461132,118263530.0078926,13712668.567479672,181939950.11769208,157274717.6543504,709.0,IE0000793780,1992.0
60403576.48590809,18859973.76477848,-6598446.932437542,50920755.06402424,48513848.2648255,275.0,IE0000793780,1990.0
69684257.03697851,39180509.45732535,-11445045.388179038,79564467.89323607,82718697.14031544,430.0,IE0000793780,1989.0
305464884.4081621,167099775.271401,-8441876.468504602,363491310.8875871,350048247.7598259,1140.0,IE0000793780,1995.0
103324825.4417763,49536985.703245535,514659.7769153117,112730134.64738896,105261674.8312362,436.0,IE0000793780,1988.0
533646957.6311179,358503549.05562747,-16418270.148227254,449578911.5852578,408232401.7255773,1627.0,IE0000793780,2001.0
67999139.25314105,21313648.47292479,6385421.643210935,53219074.44231323,45062935.98802512,249.0,IE0000793780,1991.0
345463796.8422908,168045578.6661671,32483424.367479537,453387223.0193299,404621477.11148167,1417.0,IE0000793780,1998.0
301359009.1799248,217363148.27707288,2342611.346972991,166186389.40438783,147488706.37598193,,IE00B068Y056,2006.0
72793946.67204289,49580712.44181999,2780892.3447746723,73919775.06075789,65020919.55747895,,IE00B068Y056,2005.0
44031630.66639483,42560222.89540424,3138344.8967839503,67617605.96997817,60714827.23224381,,IE00B068Y056,2004.0
403100448.9631927,179789982.445356,22916862.31250989,323484174.7048339,271646032.00666744,1280.0,IT0001020616,2005.0
490646352.607778,282427340.18270063,,321547036.4511712,283975774.6692196,1366.0,IT0001020616,2004.0
419872691.5556106,284148631.13970226,,316606103.8335732,286649745.24609154,1545.0,IT0001020616,2003.0
350878124.18175405,244995189.01104185,,248671896.65372872,257898793.54047173,1599.0,IT0001020616,2002.0
